"Nombre";"Especialidad";"Subespecialidad";"Web";"Telefono";"Email";"Direccion_Zona";"Valoracion_Google";"Numero_resenas";"Usa_Google_Ads";"GBP_optimizado";"Oportunidad_detectada";"Puntuacion_0_100";"Prioridad";"Tiene_web";"Resumen_web";"DAFO_fortalezas";"DAFO_debilidades";"DAFO_oportunidades";"DAFO_amenazas";"LinkedIn_URL";"LinkedIn_decision";"Fuente"
"Clínica Piñero Oftalmología";"Oftalmología";"Oftalmología general, cirugía refractiva, retina";"https://www.clinicapinero.com";"";"";"Sevilla";"Sevilla";"";"SÍ";"PROBABLE";"Centro referencia";"Centro oftalmológico de referencia en Andalucía. Oportunidad en SEO y SEM.";"Alta";"SÍ";"Centro oftalmológico referencia";"Web profesional con información detallada de patologías, equipo médico, blog activo";"Centro de referencia en Andalucía, equipo especializado por subáreas, blog activo con contenido de calidad";"Web con diseño mejorable, poca presencia en Google Maps, sin precios orientativos";"Mejorar SEO técnico, optimizar Google My Business, campañas SEM para cirugía refractiva";"";"";"ampliada+ampliada-v2"
"Clínica Rocío Vázquez";"Medicina Estética";"Cirugía estética, medicina estética, cirugía capilar, bariátrica";"https://clinicarociovazquez.com";"";"";"Sevilla";"4,8";"";"SÍ";"PROBABLE";"Nº1 Andalucía premium";"Abriendo la mayor clínica de Andalucía. Fuerte presencia redes. Oportunidad en Google Ads para captar tráfico de alta intención.";"Máxima";"SÍ";"Nº1 Andalucía medicina estética y capilar";"Web profesional con blog, carrusel de tratamientos, galería antes/después, presencia en Top Doctors";"Liderazgo regional, +35 años de experiencia, equipo multidisciplinar, fuerte branding en redes sociales";"Web con carga lenta, poca actualización de blog, sin estrategia SEO clara en ciertas páginas";"Expandir contenido SEO para captar tráfico orgánico de alta intención, campañas SEM en cirugía estética";"";"";"ampliada+ampliada-v2"
"Clínica Velázquez";"Medicina Estética";"Cirugía plástica, medicina estética";"https://clinicaesteticavelazquez.com";"";"";"Sevilla";"Sevilla (Centro)";"";"SÍ";"SÍ";"Web mejorable";"Presencia mediática pero web desactualizada. Oportunidad en SEO local y campañas.";"Alta";"SÍ";"Cirugía plástica y estética";"Web con información de servicios, poco contenido, sin blog activo, presencia en Instagram";"Dr. Joaquín Velázquez como figura de autoridad (Hospital Virgen del Rocío), presencia mediática en artículos";"Web desactualizada, sin blog, sin precios visibles, poca información sobre el equipo";"Mejorar web y SEO, activar blog con contenido quirúrgico y de medicina estética, campañas SEM";"";"";"ampliada+ampliada-v2"
"Clínica Victoria Rey";"Fertilidad";"Reproducción asistida, radiofrecuencia en miomas";"https://www.clinicavictoriarey.com";"";"";"Sevilla";"Sevilla";"";"SÍ";"PROBABLE";"Tecnología innovadora";"Directora autora de libro y formadora internacional. Web mejorable. Oportunidad contenido.";"Alta";"SÍ";"Radiofrecuencia miomas innovadora";"Web informativa, enfoque en radiofrecuencia para miomas, autora de libro";"Directora como autora y formadora internacional en radiofrecuencia para miomas, nicho único";"Web con diseño mejorable, contenido limitado, poca presencia SEO";"Aprovechar autoridad de la directora para contenido SEO, libro como herramienta de marketing";"";"";"ampliada+ampliada-v2"
"Clínicas Origen";"PSICO";"Psicología clínica, ansiedad, depresión, psiquiatría";"https://clinicasorigen.es/clinica-psicologica/sevilla-ramon-carande";"";"";"";"Av. Ramón Carande, Sevilla";"";"";"SÍ";"SÍ";"Cadena nacional con fuerte inversión marketing. Web profesional. Buena estrategia SEO.";"68";"B";"SÍ";"Web corporativa nacional con landing local, blog, citas online, buena estrategia SEO";"Cadena nacional con inversión en marketing, múltiples ubicaciones, web profesional con buen SEO";"Landing local genérica, poca personalización Sevilla, servicio estandarizado";"Ajustar contenido local para Sevilla, campañas SEM locales, aprovechar marca nacional";"";"";"ampliada"
"Demax Clinic Sevilla";"DERMA";"Dermatología, estética facial";"https://demaxclinic.com";"";"";"";"Sevilla";"";"";"NO";"NO";"Directora dermatóloga del Hospital Virgen Macarena. Web básica. Oportunidad alta.";"48";"C";"SÍ";"Web con información de servicios, equipo, diseño básico";"Directora es dermatóloga del Hospital Virgen Macarena (autoridad)";"Web con diseño básico, sin blog, poca presencia digital";"Aprovechar autoridad de la directora para contenido SEO, renovar web, Google Ads";"";"";"ampliada"
"Dental Garrido";"DENTAL";"Odontología general, estética";"https://dentalgarrido.com";"";"info@dentalgarrido.com";"";"Nervión, Sevilla";"";"";"NO";"NO";"Clínica dental Nervión. Oportunidad en mejora digital.";"38";"C";"SÍ";"Web informativa con servicios, diseño básico";"Ubicación en Nervión, enfoque en odontología general";"Web básica, sin blog, sin presencia en redes";"Renovar web y SEO local, Google Ads";"";"";"ampliada"
"Dental Med Nervión";"DENTAL";"Odontología general, endodoncia, implantes";"https://dentalmed.com.es";"";"";"";"Nervión, Sevilla";"";"";"NO";"NO";"Clínica dental Nervión. Oportunidad en presencia digital.";"38";"C";"SÍ";"Web informativa con servicios, diseño básico";"Variedad de tratamientos (endodoncia, implantes, blanqueamiento)";"Web básica, sin blog, poca presencia digital";"Mejorar SEO local, Google Ads";"";"";"ampliada"
"Dental Quality (Dental Implantologie Sevilla)";"DENTAL";"Implantología, cirugía oral, periodoncia, ortodoncia";"https://www.implantessevilla.es";"";"info@implantessevilla.es";"";"Sevilla";"";"";"NO";"NO";"Grupo Dental Quality. Certificado calidad. Oportunidad en marketing digital.";"42";"C";"SÍ";"Web profesional con certificaciones, equipo con másteres, espacios cardio protegidos";"Certificado de excelencia Dental Quality, espacio cardio protegido, +15 años experiencia";"Marca poco conocida, presencia digital mejorable";"Mejorar SEO local y crear contenido sobre implantología, Google Ads";"";"";"ampliada"
"El Prado Psicología";"Psicología";"Psicoterapia, salud mental";"https://elpradopsicologia.com";"";"";"Sevilla";"Sevilla";"";"SÍ";"SÍ";"Web premium oportunidad contenido";"Centro psicoterapia. Web atractiva pero poca presencia SEO. Mercado muy competido.";"Máxima";"SÍ";"Centro sanitario psicoterapia";"Web atractiva visualmente, información de servicios, enfoque en psicoterapia";"Web con buen diseño visual, enfoque en psicoterapia de calidad";"Poca presencia en Google Maps, sin blog, sin inversión aparente en SEO";"Implementar SEO local urgente, crear blog de contenido, Google Ads para captar pacientes";"";"";"ampliada+ampliada-v2"
"Embryocenter";"Fertilidad";"FIV, Ovodonación, ICSI, método ROPA";"https://embryocenter.es";"";"";"Sevilla";"4,9";"";"SÍ";"PROBABLE";"40 años Medalla Oro oportunidad";"Medalla de Oro de Sevilla 2025. Única con certificado AENOR. Alto ticket. Oportunidad en SEO de contenido.";"Máxima";"SÍ";"40 años Medalla Oro Sevilla 2025";"Web corporativa completa, información detallada de tratamientos, certificaciones visibles, blog";"40+ años de experiencia, Medalla de Oro de Sevilla, certificación AENOR exclusiva, equipo altamente especializado";"Diseño web clásico, poca presencia en redes sociales, contenido poco actualizado";"Crear contenido SEO sobre fertilidad (guías, casos de éxito), campañas SEM para captar pacientes de fuera de Sevilla";"";"";"ampliada+ampliada-v2"
"Gesderma (Quirónsalud)";"Dermatología";"Dermatología, dermatología estética, láser";"https://www.topdoctors.es/centro/gesderma";"";"";"Quirónsalud Sagrado Corazón, Sevilla";"Hospital Quirónsalud Sagrado Corazón, Sevilla";"";"SÍ";"NO";"Dentro hospital";"Unidad dentro de gran grupo. Buena reputación. Dependiente de Quirónsalud.";"Alta";"NO";"Dermatólogos referencia";"Perfil en Top Doctors y web de Quirónsalud, sin web propia";"Respaldada por Quirónsalud, equipo de dermatólogas reconocidas, buena reputación";"Sin web propia, dependiente de Quirónsalud, poca autonomía de marketing";"Baja oportunidad al ser servicio dentro de un gran grupo hospitalario";"";"";"ampliada+ampliada-v2"
"HLA Clínica Santa Isabel";"MULTI";"Centro hospitalario privado, 40+ especialidades";"https://www.grupohla.com/hlaclinicasantaisabel";"";"";"";"C/ Luis Montoto 100, 41018 Nervión, Sevilla";"";"";"SÍ";"SÍ";"Gran hospital privado. 77 habitaciones. Grupo HLA. Baja oportunidad agencia externa.";"45";"C";"SÍ";"Web corporativa del grupo con página hospital, servicios completos";"77 habitaciones, 5 quirófanos, grupo HLA nacional, múltiples especialidades";"Dependencia de marca, estructura corporativa rígida";"Escasa oportunidad para agencia externa";"";"";"ampliada"
"INEBIR";"Fertilidad";"Reproducción asistida, FIV, Ovodonación";"https://inebir.com";"";"";"Sevilla";"Sevilla";"";"SÍ";"PROBABLE";"15 años web mejorable";"15+ años. Tasas de éxito destacadas. Web funcional. Oportunidad SEO y SEM.";"Alta";"SÍ";"15 años tasas éxito +20%";"Web funcional con información de tratamientos, tasas de éxito";"15+ años de experiencia, tasas de éxito destacadas, enfoque en resultados";"Web con diseño mejorable, contenido limitado, poca presencia en redes";"Mejorar web y SEO, campañas SEM para captar pacientes de fertilidad";"";"";"ampliada+ampliada-v2"
"Instituto Dental Clínica Jiménez Cameán";"DENTAL";"Implantes, odontología general";"https://clinicadentaljimenezcamean.es";"";"";"";"Sevilla";"";"";"NO";"NO";"Clínica con Dr. José Jiménez. Oportunidad mejora digital.";"38";"C";"SÍ";"Web básica con servicios de implantes, información del Dr. Jiménez";"Dr. José Jiménez como figura local, materiales de calidad";"Web muy básica, sin blog, sin presencia digital";"Caso de transformación digital completa";"";"";"ampliada"
"Instituto Dental Excell";"DENTAL";"Implantes, cirugía oral, ortodoncia";"https://institutodentalsevilla.com";"";"";"";"Sevilla";"";"";"NO";"NO";"Clínica implantología. Oportunidad en mejora digital y SEO.";"42";"C";"SÍ";"Web con servicios de implantología, diseño mejorable, contenido limitado";"Especialización en implantología y cirugía oral";"Web con diseño mejorable, sin blog, poca presencia digital";"Renovar web, SEO local para implantología, Google Ads";"";"";"ampliada"
"Instituto Dental Lebrón";"DENTAL";"Implantes, carillas, ortodoncia, diseño de sonrisa, odontología digital IA";"https://institutodentallebron.com";"";"info@institutodentallebron.com";"";"Av. de Kansas City 32B, Portal 3, 1ºA, 41007 Sevilla (Nervión)";"";"";"PROBABLE";"SÍ";"Top Doctors, odontología digital con IA. Dr. Lebrón premiado. Oportunidad en Google Ads.";"78";"A";"SÍ";"Web moderna con diseño premium, blog de contenido, vídeos, presencia en Top Doctors, antes/después";"Premios Top Doctors, 35+ años de experiencia, tecnología digital con IA, Dr. reconocido mediáticamente";"Información de precios no visible, poca actividad en blog reciente, dependencia de la figura del Dr. Lebrón";"Apostar por Google Ads para captar pacientes de alto valor, mejorar presencia en Google Maps";"";"";"ampliada"
"Instituto NOA";"PSICO";"Salud mental, adicciones, trastornos personalidad";"https://institutonoa.es/salud-mental";"";"info@institutonoa.es";"";"Sevilla";"";"";"PROBABLE";"PARCIAL";"Único centro en España con estancia mínima para patologías leves/moderadas. Nicho.";"55";"B";"SÍ";"Web corporativa con información clara sobre programa, centro de día, equipo";"Único en España con programa de estancia mínima para patologías leves/moderadas, centro de día, nicho claro";"Web poco trabajada en SEO, contenido mejorable";"Crear contenido SEO sobre salud mental con enfoque en patologías leves, campañas SEM";"";"";"ampliada"
"Instituto Oftalmológico Andaluz";"Oftalmología";"Oftalmología general, cirugía ocular";"https://www.ioftalmologicoandaluz.es";"";"info@iopasa.com";"Av. República Argentina 31, Sevilla";"Av. República Argentina 31, Sevilla";"";"SÍ";"PROBABLE";"Desde 1986 web mejorable";"Desde 1986. Referente. Equipo amplio. Web profesional. Oportunidad en SEM.";"Alta";"SÍ";"Desde 1986 centro referencia";"Web profesional con información completa, equipo, servicios, sede en República Argentina";"Desde 1986, amplio equipo de oftalmólogos, ubicación céntrica (República Argentina), conciertos con aseguradoras";"Web con diseño clásico, contenido poco actualizado, sin blog";"Campañas SEM para cirugía de cataratas y refractiva, mejorar SEO local";"";"";"ampliada+ampliada-v2"
"Medical Center Clínica Global";"Fisioterapia";"Fisioterapia, podología, biomecánica, medicina deportiva";"https://clinicaglobal.es";"";"";"Sevilla";"Sevilla";"";"SÍ";"SÍ";"15 centros oportunidad contenido";"+15 centros abiertos. Experiencia en franquicia. Oportunidad en SEO.";"Alta";"SÍ";"15 centros 50 profesionales";"Web corporativa con servicios, testimonios, información de centros";"Experiencia en apertura de 15 centros, +50 profesionales, 12h/día de servicio";"Marca poco conocida como tal, presencia digital mejorable";"Crear contenido SEO local para cada centro, Google Ads";"";"";"ampliada+ampliada-v2"
"Miranza Virgen de Luján";"Oftalmología";"Oftalmología integral, trasplante córnea, glaucoma";"https://miranza.es/nuestras-clinicas/miranza-virgen-de-lujan";"";"info.virgendelujan@miranza.es";"Los Remedios, Sevilla";"Sevilla";"";"SÍ";"SÍ";"Líder +25 años";"Líder en oftalmología Sevilla. Referente trasplantes córnea. Grupo nacional.";"Alta";"SÍ";"Líder +25 años trasplantes córnea";"Web corporativa con página local detallada, equipo, blog del grupo";"Referente en trasplantes de córnea (primer centro privado autorizado), 25+ años, grupo nacional Miranza";"Web corporativa sin personalización local fuerte, dependencia de marca nacional";"Crear landing page local optimizada para SEO, Google Ads para cirugía ocular";"";"";"ampliada+ampliada-v2"
"Next Fertility Sevilla";"Fertilidad";"Reproducción asistida, FIV, Ovodonación, genética";"https://nextfertility.es/clinica/next-fertility-sevilla";"";"info.sevilla@imer.es";"El Porvenir-Bami, Sevilla";"Sevilla (El Porvenir-Bami)";"";"SÍ";"SÍ";"Dos sedes oportunidad contenido";"Cadena nacional con laboratorio genético. Dos sedes en Sevilla. Fuerte inversión marketing.";"Alta";"SÍ";"Dos clínicas laboratorio genética";"Web moderna con blog, testimonios, información genética, presencia en redes";"Laboratorio de genética especializado, dos clínicas en Sevilla, inversión en marketing digital consolidada";"Marca menos conocida que Ginemed o Embryocenter en Sevilla, precios no visibles";"Aumentar presencia en SEO local, crear contenido comparativo sobre técnicas de reproducción asistida";"";"";"ampliada+ampliada-v2"
"Oftalvist Sevilla";"Oftalmología";"Oftalmología general, cirugía refractiva, retina";"https://www.oftalvist.es/clinicas/oftalvist-sevilla";"";"";"Sevilla";"Sevilla";"";"SÍ";"SÍ";"Red nacional";"Grupo oftalmológico nacional con presencia en Sevilla. Fuerte inversión marketing.";"Alta";"SÍ";"Red nacional";"Web corporativa nacional con datos de la clínica local, presencia en Top Doctors";"Grupo nacional con presupuesto, 25 años de experiencia, investigación propia";"Web genérica sin personalización local, dependencia de marca nacional";"Personalizar landing page para Sevilla, campañas SEM locales";"";"";"ampliada+ampliada-v2"
"On Clínica Dental";"DENTAL";"Implantes, odontología general";"https://onclinicadental.com";"";"";"";"Sevilla";"";"";"NO";"NO";"Clínica con enfoque en implantes. Oportunidad en marketing digital.";"40";"C";"SÍ";"Web con contenido detallado sobre implantes, guía completa, diseño moderno";"Contenido detallado sobre implantes (guía completa), diseño web moderno";"Marca poco conocida, poca presencia en redes";"Buen punto de partida para SEO en implantes, Google Ads";"";"";"ampliada"
"Poyet Fisioterapia";"Fisioterapia";"Fisioterapia, osteopatía, rehabilitación deportiva";"https://poyet.es";"";"";"Sevilla";"Sevilla";"";"NO";"SÍ";"Método propio oportunidad contenido";"Método Poyet propio. Diferenciación. Oportunidad en marketing digital.";"Alta";"SÍ";"Método Poyet osteopatía";"Web profesional con método propio explicado, blog activo, servicios detallados";"Método Poyet propio como diferenciador, blog activo, enfoque en osteopatía";"Marca poco conocida fuera de círculos de fisioterapia";"Posicionar el método Poyet como referencia, SEO de contenidos, Google Ads local";"";"";"ampliada+ampliada-v2"
"Sanitas Dental Los Remedios";"DENTAL";"Odontología general";"https://www.sanitas.es/dental/clinicas-dentales-milenium/sevilla/sevilla/sevilla-los-remedios";"";"";"";"Los Remedios, Sevilla";"";"";"SÍ";"SÍ";"Cadena aseguradora. Marca fuerte pero baja oportunidad para agencia externa.";"35";"C";"SÍ";"Web corporativa nacional con página local, sistema de citas online";"Respaldo de gran grupo asegurador, inversión en marca garantizada, red nacional";"Dependencia de marca, poca flexibilidad local, procesos centralizados";"Escasa oportunidad para agencia externa al ser gran corporación";"";"";"ampliada"
"SportMe Medical Center (Clínica Bernáldez)";"Traumatología";"Traumatología deportiva, cirugía ortopédica";"https://clinicabernaldez.com";"";"info@clinicabernaldez.com";"Sevilla";"Sevilla";"";"SÍ";"PROBABLE";"20 años contenido mejorable";"+20 años. Jornadas quirúrgicas propias. Web moderna con blog. Oportunidad en SEM.";"Alta";"SÍ";"20 años cirugía ortopédica deportiva";"Web moderna con blog activo, equipo detallado, jornadas quirúrgicas propias";"+20 años de experiencia, jornadas quirúrgicas propias como evento, blog activo";"Marca con doble naming (SportMe / Bernáldez) que puede confundir";"Apostar por SEO local para traumatología deportiva, Google Ads, potenciar marca única";"";"";"ampliada+ampliada-v2"
"UR Sevilla (Grupo UR)";"Fertilidad";"Reproducción asistida, FIV, Ovodonación";"https://grupointernacionalur.com/clinicas/ur-sevilla";"";"info@grupointernacionalur.com";"Sevilla";"Sevilla";"";"SÍ";"SÍ";"Grupo internacional";"Grupo internacional con tecnología avanzada. Fuerte inversión marketing. Alto ticket.";"Media";"SÍ";"Grupo internacional";"Web corporativa internacional con página local, tecnología avanzada visible";"Parte de grupo internacional de referencia, tecnología avanzada, inversión en marketing digital";"Página local genérica, poca personalización Sevilla";"Personalizar landing Sevilla, campañas SEM locales";"";"";"ampliada+ampliada-v2"
"Verkomed (Clínicas Verkomed)";"Medicina Estética";"Medicina estética, cirugía plástica, dermatología, láser";"https://www.verkomed.com";"954412160";"info@verkomed.com";"C. Hernando del Pulgar 11, Nervión";"Nervión, Sevilla";"";"SÍ";"PROBABLE";"Pioneros oportunidad SEO local";"Dr. Bartosz Kosmecki reconocido mediáticamente. Tratamientos premium. En Top Doctors.";"Alta";"SÍ";"Dr. Bartosz Kosmecki";"Web funcional, blog con artículos, presencia en redes, menciones en medios nacionales (Cuatro)";"Dr. Kosmecki como figura mediática, presencia en Top Doctors y Doctoralia, posicionamiento como clínica de calidad";"Web con diseño mejorable, información de servicios dispersa";"Crear campañas SEO locales, potenciar contenido en redes sociales con el Dr. como prescriptor";"";"";"ampliada+ampliada-v2"
"Vida Medicina Reproductiva (Recoletas)";"Fertilidad";"Reproducción Asistida";"https://vidarecoletas.com/vida-sevilla-medicina-reproductiva";"";"info@vidarecoletas.com";"Sevilla";"Sevilla";"";"SÍ";"SÍ";"Grupo Recoletas";"Grupo Recoletas. Red nacional. Alto ticket. Oportunidad en posicionamiento local.";"Media";"SÍ";"Grupo Recoletas";"Web corporativa grupo Recoletas, página local, información tratamientos";"Parte del Grupo Recoletas, red nacional, respaldo hospitalario";"Página local genérica, poca diferenciación frente a otras clínicas de fertilidad";"Personalizar presencia local, campañas SEM para fertilidad";"";"";"ampliada+ampliada-v2"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"""Clinica Dental Beatriz Mendoza","Dental","954 10 19 81","bmclinicadental.es","Calle Cantillana, 26","4,9","339",
"Viladent - Clinica Dental Montequinto","Dental","955 04 85 53","viladent.es","Calle Mesina, 34","4,9","41",
"Clinica Dental Carabe","Dental","954 27 51 96","dentalcarabe.com","C/ Asuncion, 78","4,9","184",
"Clinica dental De Castro - Periodoncia e Implantes","Dental","665 34 61 94","dentaldecastro.com","Cardenal Bueno Monreal, 33, Local 2","5,0","212",
"Consulta Dental Maria del Carmen Palacios Rodriguez","Dental","954 24 05 06","","Av. de las Razas, 3","5,0","1",
"Clinica Dental Jimenez Vallejo (Gestoma)","Dental","954 27 62 96","gestoma.com","C/ Asuncion, 77","","",
"Clinica dental MAEX Bernabeu","Dental","954 53 10 22","maexdental.com","Av. de la Borbolla, 61","","",
"Clinica Dental Clident Maria Salas","Dental","954 28 60 06","clident.es","Juan Ramon Jimenez, 27","","",
"Clinica DENTAL SEVILLA - Dr I. Gomez Mendo","Dental","954 28 31 17","dentalsevilla.com","Virgen de Lujan, 15, 1oA","","",
"Clinica Dental El Porvenir, Sevilla","Dental","955 52 47 24","clinicadentalelporvenir.com","C. Bogota, 25, local 4","","",
"Clinica Dental Arpon - El Porvenir","Dental","954 24 06 66","dentista-sevilla.es","Av. de la Borbolla, 85","","",
"Clinica Dental Helident","Dental","640 70 48 64","clinicadentalhelident.es","C. Monzon, 32","","",
"Clinica dental Gomez de la Mata","Dental","954 27 18 68","clinicagomezdelamata.com","C. Virgen de la Fuensanta, 1","","",
"Fatou Dental","Dental","655 56 80 21","fatoudental.com","Av. de la Reina Mercedes, 19A, Escalera B, 1o","","",
"Septima Dental - Sevilla","Dental","954 23 14 62","septimadental.com","C. Gaspar Alonso, 4","","",
"Clinica Dental Sevilla - Gallego Experiencia Dental","Dental","954 00 58 58","clinicagallego.net","Av. de la Republica Argentina, 24, Planta Baja","","",
"Clinica Dental San Bernardo","Dental","954 41 73 10","clinicadentalsanbernardo.com","Av. de Cadiz, 25","","",
"Clinica Dental Dra. Catalina Zaragoza Rascon","Dental","954 27 30 88","","C. Virgen de las Montanas, 9 A","","",
"Clinica Dental Yniguez","Dental","954 27 35 28","artedentalsevilla.es","C. Virgen de Regla, 1","","",
"ORTODONCIA SEVILLA","Dental","954 28 31 17","ortodonciasevilla.com","Virgen de Lujan, 15, 1oA","","",
"Clinica dental Garcia De Diego Salmeron Vicente","Dental","624 12 22 28","centrodentalgarciadediego.com","C/ Asuncion, 28","","",
"Dental Med - Clinica Dental y Medicina Estetica","Dental","954 04 00 66","dentalmed.com.es","C. Jose Saramago, 21","","",
"IMOS Clinica (antigua Maxilosur)","Dental","954 57 18 00","imosclinica.com","Calle Fernando IV, 40","","",
"Clinica Dental Avante","Dental","954 98 78 25","clinicadentalavante.es","Calle Dr. Losada Villasante","","",
"Centro de Implantologia Oral de Sevilla","Dental","954 22 22 60","ciossevilla.es","Virgen de Lujan, 26","","",
"AC DENTAL, Clinica Dental","Dental","655 76 76 36","dentistasensevilla.com.es","Av. de la Republica Argentina, 28, Local","","",
